,Smiles,descriptor,Common Name
0,C1=CC=C(C=C1)CCC(=O)O,Train,3-Phenylpropanoic acid
1,CC(C(=O)C)O,Train,acetoin
2,CCCC=O,Train,butyraldehyde
3,C1=CC=C(C=C1)CCC(=O)O,Train,3-Phenylpropanoic acid
4,CC(C(=O)C)O,Validation,acetoin
5,CCCC=O,Validation,butyraldehyde
6,CCCCCCCC(=O)O,Train,octanoic acid
7,CCCCCCCC=O,Train,Octanal
8,CS(=O)C,Train,dimethyl sulfoxide
9,C(C(=O)O)N,Train,glycine
10,CCCCCCCCCCCCCCCC(=O)O,Train,palmitic acid
11,CC1=C(SC=N1)CCO,Test,4-Methyl-5-Thiazoleethanol
12,CCCCCCCCCC(=O)O,Train,Decanoic acid
13,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O,Train,lanatoside C
14,CCCCCCCCCCCC(=O)O,Test,lauric acid
15,CCCCCCCCCCCCCCCCCC(=O)O,Test,stearic acid
16,NS(=O)(=O)O,Train,Sulfamic Acid
17,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,Train,Tributyrin
18,CCCCCC=O,Test,Hexanal
19,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,Train,77-83-8
20,C1CC(=O)OC1,Train,gamma-Butyrolactone
21,C1=COC(=C1)CS,Train,Furfuryl mercaptan
22,CCCCC1CCC(=O)O1,Test,104-50-7
23,CCCCCCCC1CCC(=O)O1,Train,Gamma-undecalactone
24,CCCC1CCC(=O)O1,Train,gamma-Heptalactone
25,CC(CCC=C(C)C)CC=O,Train,Citronellal
26,CCCCCCCC(=O)OCC,Validation,Ethyl Octanoate
27,CCCCC(=O)CC,Train,3-Heptanone
28,CCCCCCCCCCCCCC(=O)OC(C)C,Test,Isopropyl Myristate
29,CCCCCS,Train,1-Pentanethiol
30,CCCCCCS,Train,1-Hexanethiol
31,CCCCCCC=O,Train,Heptanal
32,COC(=O)CCCCCCCCC=C,Train,Methyl 10-Undecenoate
33,CCCCCCCCCCCC(=O)OC,Train,Methyl Dodecanoate
34,CCCCCCCCC(=O)O,Train,Nonanoic Acid
35,CCCCCCCCCC(=O)C,Train,2-Undecanone
36,CCCCCCCCCCO,Test,1-Decanol
37,CCCCCCCCCCC(=O)O,Validation,Undecanoic Acid
38,CCCCCCCCCCCCCCCC(=O)OC,Train,Methyl Palmitate
