  
CCCCCCCCCC(=O)O 0
CCCCCCC=CC(=O)O 1
CSSC 2
CCCCC(=O)CC=C(C)C 3
CCCCCCCCCCC=O 4
CCCC1CCCC(=O)O1 5
CSSC(C)(C)C=O 6
CC(C)=CCCC(C)CC(=O)O 7
CC(C)=CCCC(C)CC=O 8
O=S(=O)(O)S 9
  
CCCCCCC=CC=O 0
CCCc1ccccn1 1
CCC=CCC=CCC=O 2
C=CC(O)CCCCCCC 3
CCOC(=O)CSC 4
CCCCC(C)C(=O)O 5
CSSC 6
CCC=CCCC(OCC)OCC 7
CCCCCCCCCCCCCC(=O)O 8
CCCCCCCCCCCCCCCC(=O)OC(C)C 9
  
CCCCCOC(=O)CCCCC 0
CC(=O)C(C)O 1
CCCCCC=CC=CCO 2
CCCCC(C)CCC(=O)O 3
CC(C)C1=CC=C(C=O)CC1 4
CC(C)C1=CC=C(C=O)CC1 5
CCCCCC=O 6
CCCCCC=CCC=CC=CC=O 7
CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO 8
CCCCCCC=CC(=O)O 9
  
CCCCCCCCC(=O)O 0
CSSC(C)(C)C=O 1
CCCCCCCCC(=O)O 2
NS(=O)(=O)O 3
CCCS 4
CCCC=O 5
CCCCCCCCCCCCCC(=O)O 6
CS(C)=O 7
CC(C)=CCCC(C)C=O 8
CCOC(=O)CC(C)=O 9
  
CCC 0
CS(C)=O 1
CC(C)(S)C=O 2
CCC=CCCO 3
CCc1cccnc1 4
CCC=CCCCC(=O)O 5
CC(C)=CCCC(C)CC=O 6
CCCCCCCCCCC=O 7
CCc1ncc(C)nc1CC 8
CCCCCC=CC=CC=O 9
  
CCCCCC=CCC=O 0
CCCCC=CC=CC=O 1
CS(C)=O 2
CCCCCC=CCC=O 3
O=C(O)CC1CCCCC1 4
CCCCCCCC=CC=CC=O 5
CC(C)=CCCC(C)CC(=O)O 6
CCCN 7
CCCCC(C)C(=O)O 8
CCCCCC=CC=CC=O 9
  
OCC=CCCC1C=CC1 0
CCCC 1
CCCCCCCCCCCCCCCC(=O)OC 2
CC(O)C(C)SC(C)C(C)S 3
CSSC(C)(C)C=O 4
CC(C)CCCC(=O)O 5
CCOC(=O)CSC 6
CCCCCCCCCC=CC=O 7
CCCCN=C=S 8
O=C(O)CC1CCCCC1 9
  
CCCCCCCCCCCCCCCC(=O)OC 0
CCC=CCCC=O 1
CCCCCC=CC=CC(=O)OCCC 2
CCCCCCC=CC(=O)O 3
CCCCCC=CCC=O 4
CCCCC(=O)CC 5
CCC=CC=CCC(=O)O 6
CCCCC(C)CCC(=O)O 7
CCC(=N)C1=NC(C)=CC1C 8
CCCCCCS 9
  
CCCC1CCCC(=O)O1 0
CSSC 1
CCC=CCCCC(=O)O 2
CC(=O)c1ccccn1 3
CCCCCCCCCCCC(=O)OC 4
C=CCCC 5
CCCCCCCC=CC(=O)OCCC 6
CCCC=CC=O 7
CCCCCCC=CC=O 8
CCCCCCCC1CCC(=O)O1 9
  
CCC=CCCCC(=O)O 0
CCc1ncc(C)nc1CC 1
CCc1cccnc1 2
CCC=CCC=O 3
CCC=CCCC=CC=O 4
CCCCC=CC=O 5
CCCCCC=CCCC=O 6
CCCCCC=CCCC(=O)O 7
C=CCOC(=O)CCCCC 8
CCCCCC=CCCC=O 9
