,Smiles,descriptor,Common Name
0,CC1CCCC2(C1(CCCC2)O)C,Train,"4a(2H)-Naphthol, octahydro-4,8a-dimethyl-"
1,CCCCCC=O,Test,Hexanal
2,CC(=O)OC1CC2CCC1(C2(C)C)C,Train,Bornyl Acetate
3,CC(C)C=O,Train,Isobutyraldehyde
4,CC1=CCC2CC1C2(C)C,Train,Alpha-Pinene
5,CC1CCC(C(=O)C1)C(C)C,Validation,2-Isopropyl-5-methylcyclohexanone
6,CC1=CC(=O)C(CC1)C(C)C,Train,Piperitone
7,CC1CCC(=C(C)C)C(=O)C1,Train,Pulegone
8,COC1=C(C=C(C=C1)CC=C)OC,Train,Methyleugenol
9,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,Train,Acetyleugenol
10,CC(C=O)C1=CC=CC=C1,Validation,2-Phenylpropanal
11,CC(C1=CC=CC=C1)O,Train,1-Phenylethanol
12,CC1=CCC(CC1O)C(=C)C,Validation,Carveol
13,CC1=CC=C(C=C1)C(C)C,Train,P-Cymene
14,CC(C)(CCC1=CC=CC=C1)O,Train,2-Methyl-4-phenyl-2-butanol
15,CCCC(=O)OCC1=CC=CC=C1,Validation,Benzyl butyrate
16,C1=CC=C(C=C1)CCC=O,Train,3-Phenylpropanal
17,CCCCC(CC)CO,Train,2-Ethylhexan-1-ol
18,CC(=O)CC(=O)OC,Train,Methyl Acetoacetate
19,CCCCCC(=O)OC,Train,Methyl Hexanoate
20,CC(C)CC(CC(C)C)O,Validation,"2,6-Dimethyl-4-heptanol"
21,CCCCCCC=O,Train,Heptanal
22,CCCCCCCOC(=O)C,Train,Heptyl acetate
23,CCCCCCCCCC(=O)C,Train,2-Undecanone
24,CCCCCCCCCCOC(=O)C,Train,Decyl Acetate
25,CCCCCCCCCCCO,Train,1-Undecanol
26,C=CCCCCCCCCCO,Train,10-Undecen-1-Ol
27,CCCCCCCCCCC=O,Test,Undecanal
28,CCCCCCCCCCCCOC(=O)C,Test,Dodecyl Acetate
29,CCC(=O)OC(C)C1=CC=CC=C1,Train,1-Phenylethyl propionate
30,CC(CCC=C(C)C)CCOC(=O)CC1=CC=CC=C1,Train,Citronellyl phenylacetate
31,CC(=O)OCC1=CC=CC=C1,Train,Benzyl Acetate
32,CCOC(=O)CC(=O)C,Validation,ethyl acetoacetate
33,CCCCCCCCCO,Train,1-Nonanol
34,CC(C)(CCCC(=C)C=C)O,Train,Myrcenol
35,CCCCCC(C)O,Test,2-Heptanol
36,CCC(=O)OC,Train,Methyl Propionate
37,CC1=CCC(=C(C)C)CC1,Validation,Terpinolene
38,CCCCCC1CCCC(=O)O1,Validation,Delta-Decalactone
39,CCCCCCC1CCC(=O)O1,Train,gamma-Decalactone
40,CCCCCCCC1CCCC(=O)O1,Train,Delta-Dodecalactone
41,CCCCCCCC(=O)C,Train,2-Nonanone
42,CC(=CCOC(=O)C)C,Test,Prenyl acetate
43,CCCCCC1OCC(O1)C,Validation,"4-Methyl-2-pentyl-1,3-dioxolane"
44,CCCCCCCCCC(C)O,Train,2-Undecanol
45,CC(=C)C1CCC(=CC1)C=O,Test,Perillaldehyde
46,CCCCCC(=O)OC(C)C,Train,Isopropyl Hexanoate
