  
CCC=CCCCCCO 0
C=C1C2CCC(C2)C1(C)C 1
CCCCCCCCCCCCCC(C)=O 2
CCCC=CCCC(=O)OC 3
CCC=CCCOC(C)=O 4
CCCCCCCCCCCC(C)=O 5
C=CC(=C)CCCC(C)(C)O 6
CCC=CCC(=O)OCC 7
C=CC(C)(O)CCC=C(C)C 8
CC1CC2CC(C1)C(C)(C)S2 9
  
CC1CCC2CC1SC2(C)C 0
CC(C)C=O 1
CCCC=CCCC(=O)OC 2
COC(=O)CC(C)=O 3
CCC=CCCOC=O 4
CCC=CCCOC(=O)CC(C)C 5
CC(=O)CCC=C(C)CCC=C(C)C 6
CCCCCCCC=CC(=O)O 7
CCCCCCCCCCCO 8
CCCC=CCO 9
  
CCC=CCCOC(=O)C(C)CC 0
CC(C)=CCCC(C)CC=O 1
CCCCCCC1(C)CCC(=O)O1 2
CC(C)C=O 3
COC(=O)CC(C)=O 4
CCC=CCCOC(=O)c1ccccc1 5
CCC=CCC(=O)OCC 6
[Xe] 7
CCC 8
CCCCCCCCCCCCCCC=O 9
  
C=C1C2CCC(C2)C1(C)C 0
CCC=CCCOC(=O)C(C)CC 1
CC(C)=CCCC(C)CCOCC=O 2
CCCCCC=CC=O 3
CC(=O)CCC=C(C)CCC=C(C)C 4
CCC=CCCO 5
CC(C)=CCCC(C)CC=O 6
CCCCC(CC)CO 7
CCCC=CCO 8
C=C(C)C1C=CC(C)(O)CC1 9
  
COC(=O)CC(C)=O 0
CCCCC(CC)CO 1
CCCCC(=CC=O)CO 2
C=CC(C)CCCC(C)O 3
CCC=CCCOC(=O)CC 4
C=C1C2CCC(C2)C1(C)C 5
CC1=CC2OCCC(C)C2C1 6
CCC=CCCOC(=O)C(C)CC 7
[Xe] 8
CCCCCCCC(C)=O 9
  
CC1=C(C=O)C(C)(C)CC=C1 0
C=CC1(C)CCC(C(=C)C)CC1C(=C)C 1
CCC=CCCO 2
CCCC=CCOC(C)=O 3
CC1=CCC(C2(C)CO2)CC1 4
CC(C)=CCCC(C)CCOC(=O)Cc1ccccc1 5
CC(C)=CCCC(C)C=O 6
CCC=CCCOC(=O)C(C)CC 7
CCCC=CCCC(=O)OC 8
CCCCCCCCCCCCC=O 9
  
CCCCCCCCCC(=O)OCCCCCC 0
CCCCCCC(C)O 1
CCC=CCCOC(C)=O 2
O=CCCc1ccccc1 3
COC(=O)CC(C)=O 4
CC(=O)CCC=C(C)CCC=C(C)C 5
C=C(C)C1C=CC(C)(O)CC1 6
CCCC=CCO 7
CC(O)c1ccccc1 8
CCC=CCCO 9
  
CCC=CCCOC=O 0
CCCCC(=O)C(C)O 1
CCCCCCCCC=O 2
CC(O)c1ccccc1 3
CCCCCC(=O)OC(C)C 4
CCCCC(CC)CO 5
C=CC(=C)CCCC(C)(C)O 6
CCOC(=O)CC 7
CC(C)=CCCC(C)CCOCC=O 8
CCCCCCCCCCCCCCC=O 9
  
CCCC(C)C(=O)OCC 0
CC(C)O 1
COC(=O)CC(C)=O 2
C=CCCCCCC(C)O 3
O=CCCc1ccccc1 4
C 5
CCC=CCCOC(=O)CC 6
CC1CCC2CC1SC2(C)C 7
CCC(=O)OC 8
CCCCCCOC(=O)c1ccccc1 9
  
CCCCCCCCCC(C)O 0
CCCCCCC(C)O 1
C=CC(C)(O)CCC=C(C)C 2
CCC=CCCOC(=O)C(C)CC 3
CCCC=CCO 4
CC1=CCC(C2(C)CO2)CC1 5
CCCCCCCCCCCCCC(C)=O 6
CCC=CCCOC(=O)C(C)CC 7
CCCCCCCCCCCCCC(C)=O 8
C=CCSC(=O)CC 9
