,Smiles,descriptor,Common Name
0,CC(C)C(=O)C(=O)O,Train,3-Methyl-2-oxobutanoic acid
1,CC(C)CC(=O)C(=O)O,Train,4-Methyl-2-oxovaleric acid
2,C1=CC(=CC=C1CO)O,Validation,4-hydroxybenzyl alcohol
3,CC=O,Train,acetaldehyde
4,CCCC=O,Train,butyraldehyde
5,CC(C(C)O)O,Train,"2,3-butanediol"
6,CC(C)C(=O)C(=O)O,Train,3-Methyl-2-oxobutanoic acid
7,CC(C)CC(=O)C(=O)O,Train,4-Methyl-2-oxovaleric acid
8,C1=CC(=CC=C1CO)O,Validation,4-hydroxybenzyl alcohol
9,CC=O,Train,acetaldehyde
10,CCCC=O,Train,butyraldehyde
11,CC(C(C)O)O,Train,"2,3-butanediol"
12,CN(C)C,Train,trimethylamine
13,C(CC=O)CC=O,Test,glutaraldehyde
14,CC(=O)OCC(COC(=O)C)OC(=O)C,Test,triacetin
15,CCCCCC=O,Validation,Hexanal
16,CCS,Train,Ethanethiol
17,CCC(C)(CC)O,Train,3-Methyl-3-Pentanol
18,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,Train,77-83-8
19,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,Validation,Triethyl Citrate
20,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,Train,Linalyl isobutyrate
21,CC1=CC(=O)CC(C1)(C)C,Train,Isophorone
22,CCC(=O)C,Test,2-Butanone
23,CC(=O)OC,Validation,Methyl Acetate
24,CC(=C)C(=O)OC,Train,Methyl Methacrylate
25,CNC1=CC=CC=C1C(=O)OC,Train,Methyl 2-(methylamino)benzoate
26,CCC(CC)C(=O)O,Validation,2-Ethylbutyric Acid
27,CCOC(=O)C1=CC=CC=C1,Validation,Ethyl Benzoate
28,CCOC(=O)CC(=O)C1=CC=CC=C1,Train,Ethyl Benzoylacetate
29,CC1=CCC(CC1OC(=O)C)C(=C)C,Train,Carvyl Acetate
30,CCC(=O)OC1CC(CC=C1C)C(=C)C,Train,Carvyl propionate
31,CCOC(=O)C(C)C,Train,Ethyl Isobutyrate
32,CCOC(=O)C(C)O,Test,Ethyl Lactate
33,CCCCOC(=O)C(C)C,Validation,Butyl isobutyrate
34,CCC(CC)C=O,Train,2-Ethylbutanal
35,C1CCC(CC1)C(=O)O,Train,Cyclohexanecarboxylic Acid
36,COC(=O)CCC1=CC=CC=C1,Validation,Methyl 3-phenylpropionate
37,CC(C)C(=O)OCC1=CC=CC=C1,Train,Benzyl isobutyrate
38,CCCC(=O)OCC1=CC=CC=C1,Train,Benzyl butyrate
39,CC(C)CC(=O)OCC1=CC=CC=C1,Test,Benzyl isovalerate
40,CC(=O)OCCC1=CC=CC=C1,Train,Phenethyl acetate
41,CC(C)C(=O)OCCC1=CC=CC=C1,Train,Phenethyl isobutyrate
42,C1=CC=C(C=C1)COCC2=CC=CC=C2,Train,Benzyl ether
43,CC(C)C(=O)OCCCC1=CC=CC=C1,Train,3-Phenylpropyl isobutyrate
44,CC1=CC=C(C=C1)OC(=O)C(C)C,Train,p-Tolyl isobutyrate
45,CC(=O)OCC1=CC=C(C=C1)OC,Test,4-Methoxybenzyl acetate
46,C1=CC=C(C=C1)COC=O,Test,Benzyl formate
47,CCCCCCCC1CCC(=O)O1,Train,Gamma-undecalactone
48,CC1=CC=C(C=C1)C=O,Test,p-Tolualdehyde
49,CC(C)COC(=O)CCC1=CC=CO1,Train,Isobutyl furfurylacetate
50,CCC(=O)OCC,Train,Ethyl Propionate
51,CCC(C)CC(=O)O,Validation,3-Methylvaleric acid
52,CC(=O)CC(=O)OC,Train,Methyl Acetoacetate
53,CCOC(=O)CC(=O)OCC,Train,Diethyl Malonate
54,CCCC(=O)OCC,Train,Ethyl Butyrate
55,CCCC(=O)OCCC,Train,Propyl butyrate
56,CCC(=O)OCCC(C)C,Validation,Isoamyl propionate
57,CCCCCC(=O)OCC(C)C,Validation,Isobutyl hexanoate
58,CCCC(=O)OCCC(C)C,Validation,Isoamyl butyrate
59,CCCCCCC(=O)OCC,Train,Ethyl Heptanoate
60,CCCCCCCC(=O)OCC,Test,Ethyl Octanoate
61,CCCCC(=O)CC,Train,3-Heptanone
62,CCCOC(=O)CC,Validation,Propyl Propionate
63,COC(=O)CCC(=O)OC,Train,Dimethyl Succinate
64,CCCCCC(=O)OC,Validation,Methyl Hexanoate
65,CCCC(=O)C,Train,2-Pentanone
66,CC(C)CC(=O)C,Train,4-Methyl-2-pentanone
67,CC(C)OC(=O)C,Validation,Isopropyl Acetate
68,CC(=C)OC(=O)C,Test,Isopropenyl acetate
69,COC(=O)CC(=O)OC,Validation,Dimethyl malonate
70,CCOC(=O)CC(C)C,Train,Ethyl Isovalerate
71,CC(C)CC(=O)CC(C)C,Train,"2,6-Dimethyl-4-heptanone"
72,CCCCOC(=O)CCC,Train,Butyl butyrate
73,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,Train,Dibutyl Sebacate
74,CCCOC(=O)C,Train,Propyl acetate
75,CC(C)COC(=O)C,Train,Isobutyl Acetate
76,CCCCCCCCCC(=O)OCC,Train,Ethyl Decanoate
77,CCOC(=O)CCCCCCCCC(=O)OCC,Validation,Diethyl Sebacate
78,CCCCCCCCCC(=O)OC,Test,Methyl Decanoate
79,CCCCCC(=O)C,Validation,2-Heptanone
80,CCCCC=O,Train,Pentanal
81,CCCOC=O,Train,Propyl Formate
82,CCCCCCO,Train,1-Hexanol
83,CCCCCCCCCC(=O)C,Train,2-Undecanone
84,CCCCCCCCOC=O,Train,Octyl formate
85,CCCCCCCCCCCCCCO,Train,1-Tetradecanol
86,C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,Train,Phenyl salicylate
87,CC1=C(C(=O)C=CO1)O,Train,Maltol
88,COC(=O)C1=CC=CC=C1N,Train,Methyl Anthranilate
89,CCCCOC(=O)C1=CC=CC=C1,Validation,Butyl Benzoate
90,CCC(C)CO,Train,2-Methyl-1-Butanol
91,CCCCOC(=O)C(C)O,Train,Butyl Lactate
92,CC(=O)OCC1=CC=CC=C1,Validation,Benzyl Acetate
93,CC(C)CC(=O)OCCC1=CC=CC=C1,Train,Phenylethyl isovalerate
94,CCOC(=O)C=C,Train,Ethyl Acrylate
95,CCC(=O)OCCC(C)CCC=C(C)C,Train,Citronellyl propionate
96,CCCC(=O)OCCC(C)CCC=C(C)C,Train,Citronellyl butyrate
97,CCOC(=O)C,Train,Ethyl Acetate
98,CCOC(=O)CC(=O)C,Train,ethyl acetoacetate
99,CCCCCCC(=O)OCC=C,Train,Allyl heptanoate
100,CCCCCCOC(=O)C,Train,Hexyl acetate
101,CCCCCCCCCOC(=O)C,Train,Nonyl Acetate
102,CC(CCC=C(C)C)CCOC(=O)C,Train,Citronellyl acetate
103,CC(=O)OC(C)(C)CC1=CC=CC=C1,Validation,Dimethylbenzylcarbinyl acetate
104,COC1=CC(=CC=C1)OC,Train,"1,3-Dimethoxybenzene"
105,CC1=C(C(CCC1)(C)C)C=O,Train,beta-Cyclocitral
106,C1=CC(=CC=C1CCO)O,Train,2-(4-Hydroxyphenyl)ethanol
107,CCC1=CN=CC=C1,Validation,3-Ethylpyridine
108,COCC1=CC=CC=C1,Train,Benzyl Methyl Ether
109,CCOCC1=CC=CC=C1,Test,(Ethoxymethyl)benzene
110,CCCCC(=O)OCC,Train,Ethyl pentanoate
111,CCOC(=O)CCC(=O)C,Validation,Ethyl Levulinate
112,CCCC(=O)OCC(C)C,Train,Isobutyl butyrate
113,CCCCCC(=O)OCCCCC,Train,Pentyl Hexanoate
114,CCCCCOC(=O)CCC,Test,Pentyl Butyrate
115,CCC(=O)OCC(C)C,Train,Isobutyl propionate
116,CC(C)COC=O,Train,Isobutyl Formate
117,CCCCCC(C)O,Train,2-Heptanol
118,CC(C)C(=O)OC,Validation,Methyl Isobutyrate
119,CCC(=O)OC,Train,Methyl Propionate
120,CC(C)CC(=O)OC,Train,Methyl isovalerate
121,CC(=CCO)C,Train,3-Methyl-2-Buten-1-Ol
122,CCCOC(=O)CC(C)C,Test,Propyl Isovalerate
123,CCC(C)CCO,Train,3-Methyl-1-Pentanol
124,CCCC(=O)CC,Train,3-Hexanone
125,CC(C)CC(=O)OCC(C)C,Train,Isobutyl Isovalerate
126,CCCCOC(=O)CC(=O)C,Test,Butyl acetoacetate
127,CC(=O)COC(=O)C,Test,Acetoxyacetone
128,CCCCN=C=S,Train,Butyl isothiocyanate
129,CCCCOC=O,Train,Butyl Formate
130,CC(C)C(C)O,Train,3-Methyl-2-Butanol
131,COC(=O)C1=CC=CO1,Validation,Methyl 2-furoate
132,CCC(C=C)O,Train,1-Penten-3-Ol
133,CC(C)C(=O)OC(C)C,Test,Isopropyl Isobutyrate
134,CC1=CC(=CC=C1)C=O,Train,3-Methylbenzaldehyde
135,CC(=O)OC1CCCCC1,Train,Cyclohexyl Acetate
