
CCCC(C)=O 0
CC(=O)C(=O)CC(C)C 1
CCOC(=O)C(O)C(O)C(=O)OCC 2
CCC(=N)OC 4
CCCC(CC)CO 5
CCCCCCOC(=O)C(C)CC 6
C=CCCC(=O)OCC 7
CC(C)c1ccc(CCC=O)cc1 8
Cc1ccccc1 9
CCC(=O)OC 12
CCCCOC=O 13
CC=O 14
CCCCCCC(CCC)OCC 15
COC(=O)CC(C)CCC=C(C)C 16
CCCOC(C)=O 17
CCCCCOC(=O)c1ccco1 18
CCCCC(=O)OCCC 19 
CC(=O)C(=O)C(C)C 0
O=COC1CCCCC1 1
CCCCOC(=O)CCCC 2
C=CC(CCCCC)OC(=O)CCC 3
CC(=O)C(=O)CC(C)C 4
CC(C)c1ccc(CCC=O)cc1 5
C=CCOC(=O)CCCCC 6
CCCCC(=O)C(C)C 8
O=COC1CCCCC1 9
CC(=O)C(=O)C(C)C 10
CCCCC(C)C(=O)O 12
Cc1ccccc1 13
CC1=CC(=O)CC(C)(C)C1 14
CCC(C)COC(=O)CC(C)C 15
CCCC=O 16
[Xe] 17
CCCCC(=O)OCCC 18
CCC(C)COC(=O)CC(C)C 19
C=CC(O)CC 5
CC(O)C(C)O 6
CCCCOC(C)=O 9
CCCCC(=O)OC 11
CCOC(=O)C(C)CC 12
CCCCC(=O)CC 13
CCC1OC(=O)C(O)=C1C 15
COC1=C(C)OC(C)C1=O 16
CCCCCCCCOC(=O)CC 17
CCCCCCOC(=O)C(C)CC 18
CCCCCCOC(=O)CC(C)C 19  
CCOC(=O)C(C)CC 0
COC(=O)CC(C)CCC=C(C)C 1
CCCCCOC(=O)CCCC 2
CCCCOC(=O)C(C)O 3
CCC(C)(O)CC 5
CC(=O)C(=O)C(C)C 6
CCc1ncc(C)nc1CC 7
CCCC(=O)CCC 8
CCCC(=O)OC(C)C 9
CCCCCCC(O)(CCC)OCC 10
C=CCCC(=O)OCC 11
C=CC(C)(CCC=C(C)C)OC=O 12
CCCC(=O)C(C)=O 13
CCCCC(=O)OCCC 14
COC1=C(C)OC(C)C1=O 15
O=C(O)C1CCCCC1 16
CCCOC(C)=O 17
CC(C)C(=O)C(=O)O 19  
CC(C)CCO 0
CCCC(=O)OCc1ccco1 1
[Xe] 2
CC(=O)C(=O)CC(C)C 3
CC(C)=CCCC(C)C=O 4
CCCC(=O)CCC 5
CCCCC(C)C(=O)O 6
C=CCOC(=O)CCCCCCCC 7
CCC 8
CCCCC(=O)OCc1ccco1 9
CC(=O)C(=O)CC(C)C 10
COC1=C(C)OC(C)C1=O 11
CCCCCCC(=O)OCCCC 12
CCCCOC(=O)C(C)CC 13
CCOC(=O)C(=O)CCc1ccccc1 15
CCCCOC(=O)C(C)CC 18
[Xe] 19 
C=CCOC(=O)CCCCCCCC 0
CCOC(=O)C(O)C(O)C(=O)OCC 1
CCCC(CC)CCC(=O)OCC 2
CCCC(=O)CCC 4
CCCC(=O)C(C)=O 5
CCCCCC(=O)OC(C)C 6
CCCCCOC(=O)c1ccco1 8
CCCC(=O)C(C)=O 9
CCOC(=O)C(C)CC 10
CCCCCCC1CC(OC(C)=O)CO1 11
[Xe] 12
CCCCC(=O)C(C)C 13
CCCCC(C)C(=O)O 15
CCCCCCCOC(=O)CCC 16
CCCCC(=O)OCC 17
CC=CCC(CCCCCCCC)OC 18
C=CC(CCCCC)OC(=O)CCC 19
