,Smiles,descriptor,Common Name
0,CCCC=O,Train,butyraldehyde
1,C1=CC=C2C(=C1)C=CC(=O)O2,Validation,coumarin
2,CC(C)C1=CC=C(C=C1)C=O,Train,4-isopropylbenzaldehyde
3,CCCC=O,Test,butyraldehyde
4,C1=CC=C2C(=C1)C=CC(=O)O2,Train,coumarin
5,CC(C)C1=CC=C(C=C1)C=O,Train,4-isopropylbenzaldehyde
6,C(CC(C(=O)O)N)CN,Train,"2,5-Diaminopentanoic acid"
7,CCCCCCCC=O,Train,Octanal
8,CCCCCCCCO,Validation,1-octanol
9,C1=CC=C(C=C1)CC(=O)C(=O)O,Train,phenylpyruvic acid
10,C1=CC=C(C=C1)CC=O,Validation,phenylacetaldehyde
11,CSC,Test,dimethyl sulfide
12,COC(=O)C1=CC=CC=C1O,Validation,methyl salicylate
13,CCCCCC=O,Validation,Hexanal
14,CCC(C)(CC)O,Train,3-Methyl-3-Pentanol
15,CC1=CC(=O)CC(C1)(C)C,Train,Isophorone
16,CC(=CCCC(C)(C=C)O)C,Train,Linalool
17,CC(C)C=O,Train,Isobutyraldehyde
18,CC(C)CCOC(=O)C1=CC=CC=C1O,Train,Isoamyl salicylate
19,CCOC(=O)C1=CC=CC=C1N,Validation,Ethyl 2-aminobenzoate
20,CC1CCC(C(=O)C1)C(C)C,Train,2-Isopropyl-5-methylcyclohexanone
21,C1=CC=C(C(=C1)C=O)O,Validation,Salicylaldehyde
22,C1=CC=C(C=C1)C2=CC=CC=C2,Train,Biphenyl
23,CC(C=O)C1=CC=CC=C1,Validation,2-Phenylpropanal
24,COC(=O)C1=CC=CC=C1,Train,Methyl Benzoate
25,CCOC(=O)C1=CC=CC=C1,Validation,Ethyl Benzoate
26,CC(C)CCOC(=O)C1=CC=CC=C1,Train,Isopentyl benzoate
27,CC1=CCC(CC1OC(=O)C)C(=C)C,Train,Carvyl Acetate
28,CCCCOC(=O)C(C)C,Test,Butyl isobutyrate
29,CCC(CC)C=O,Train,2-Ethylbutanal
30,CC1=CCC(C=C1)C(C)C,Train,Alpha-Phellandrene
31,CCC1=CC=CC=N1,Test,2-Ethylpyridine
32,CC(C)(CC1=CC=CC=C1)O,Test,2-Methyl-1-phenyl-2-propanol
33,C1=CC=C(C=C1)OC2=CC=CC=C2,Train,Diphenyl oxide
34,CC(C)(CCC1=CC=CC=C1)O,Train,2-Methyl-4-phenyl-2-butanol
35,CC(=O)OC(C)(C)CCC1=CC=CC=C1,Train,Dmpec acetate
36,CC1=CC=C(C=C1)OC(=O)C(C)C,Test,p-Tolyl isobutyrate
37,C1=CC=C(C=C1)CCC=O,Train,3-Phenylpropanal
38,C1=CC=C(C=C1)CCOC=O,Train,2-Phenylethyl formate
39,CCCCC(CC)CO,Test,2-Ethylhexan-1-ol
40,CCC(C)CC(=O)O,Train,3-Methylvaleric acid
41,CC(=O)CC(=O)OC,Train,Methyl Acetoacetate
42,CCOC(=O)CC(=O)OCC,Train,Diethyl Malonate
43,CCOC(C)OCC,Validation,Acetal
44,CCCCCC(=O)OCC(C)C,Train,Isobutyl hexanoate
45,CC(C)CCCC(C)CCO,Train,"3,7-Dimethyl-1-octanol"
46,CCCC(=O)OCCC(C)C,Train,Isoamyl butyrate
47,CCCCC(=O)CC,Train,3-Heptanone
48,COC(=O)CCC(=O)OC,Validation,Dimethyl Succinate
49,CCCCCCC(=O)OC,Test,Methyl Heptanoate
50,CC(CCCC(C)(C)O)CC=O,Train,Hydroxycitronellal
51,CC(C)CC(=O)C,Train,4-Methyl-2-pentanone
52,CC(C)CC(=O)CC(C)C,Train,"2,6-Dimethyl-4-heptanone"
53,CC1=NC=CN=C1,Train,2-Methylpyrazine
54,CCCCOC(=O)CC(C)C,Train,Butyl Isovalerate
55,CCOC=O,Train,Ethyl Formate
56,CC(C)CCOC=O,Train,Isopentyl formate
57,CCCOC=O,Train,Propyl Formate
58,CCCCCCCC(=O)OC,Train,Methyl octanoate
59,CCCCCC#CC(=O)OC,Validation,Methyl 2-octynoate
60,CCCCCCO,Train,1-Hexanol
61,CCCCCCCO,Train,1-Heptanol
62,CCCCCCC=O,Train,Heptanal
63,CCCCCCC#CC(=O)OC,Train,Methyl 2-nonynoate
64,CCCCCCCCC(=O)O,Train,Nonanoic Acid
65,CCCCCCCOC(=O)C,Train,Heptyl acetate
66,CCCCCCCCCC(=O)C,Train,2-Undecanone
67,CCCCCCCCOC(=O)C,Validation,Octyl acetate
68,CCCCCCCOC=O,Train,Heptyl formate
69,CCCCCCCCCCC=O,Test,Undecanal
70,CCCCCCCCCCCC=O,Train,Dodecanal
71,CC(=CCCC(C)(C=C)OC(=O)C)C,Validation,Linalyl Acetate
72,CCOC(=O)C1=CC=CC=C1O,Train,Ethyl salicylate
73,CCC(=O)OC(C)C1=CC=CC=C1,Validation,1-Phenylethyl propionate
74,COC1=CC=C(C=C1)CC=C,Train,Estragole
75,CCC(=O)OCCC(C)CCC=C(C)C,Train,Citronellyl propionate
76,CCCC(=O)OCCC(C)CCC=C(C)C,Train,Citronellyl butyrate
77,CCOC(=O)C,Train,Ethyl Acetate
78,CC(CCCC(C)(C)O)CC(OC)OC,Train,Hydroxycitronellal dimethyl acetal
79,CCOC(=O)CC(=O)C,Train,ethyl acetoacetate
80,CCCCCCOC(=O)C,Train,Hexyl acetate
81,CCCCCCCCCO,Test,1-Nonanol
82,CCCCCCCCCOC(=O)C,Train,Nonyl Acetate
83,C1=CC=C(C=C1)CSSCC2=CC=CC=C2,Train,Dibenzyl disulfide
84,COC1=CC=C(C=C1)OC,Validation,"1,4-Dimethoxybenzene"
85,CC(CCC=C(C)C)CCOC(=O)C,Train,Citronellyl acetate
86,CC(=O)OC(C)(C)CC1=CC=CC=C1,Train,Dimethylbenzylcarbinyl acetate
87,CC(=CCCC(=O)C)C,Validation,6-Methyl-5-Hepten-2-One
88,CC(C)C12CCC(O1)(CC2)C,Train,"1,4-Cineole"
89,CC(CCC=C(C)C)CC(=O)O,Train,Citronellic acid
90,CC(=CCCC(=CCCC(=C)C=C)C)C,Test,(E)-.beta.-Farnesene
91,CC(OC)OC,Validation,"1,1-Dimethoxyethane"
92,CC(=C)C1CCC(=CC1)CO,Train,Perilla alcohol
93,CCC1=CN=CC=C1,Test,3-Ethylpyridine
94,COCC1=CC=CC=C1,Train,Benzyl Methyl Ether
95,CCCCC(=O)OCC,Test,Ethyl pentanoate
96,CCOC(=O)CCC(=O)C,Train,Ethyl Levulinate
97,CCCCCC(=O)OCCCCC,Validation,Pentyl Hexanoate
98,CCC(=O)OCC(C)C,Train,Isobutyl propionate
99,CC(=CC(=O)O)C,Validation,"3,3-Dimethylacrylic acid"
100,CCCCCC(C)O,Train,2-Heptanol
101,CCCCSCCCC,Test,Dibutyl sulfide
102,CC1=CC=CS1,Train,2-Methylthiophene
103,CC(=CCO)C,Test,3-Methyl-2-Buten-1-Ol
104,CCC(C)CCO,Train,3-Methyl-1-Pentanol
105,CC(C)CC(=O)OCC(C)C,Train,Isobutyl Isovalerate
106,CCCCN=C=S,Train,Butyl isothiocyanate
107,CCC(C=C)O,Validation,1-Penten-3-Ol
108,CCCCC(=O)OC,Train,Methyl Valerate
109,CCSC,Train,Ethyl methyl sulfide
110,CSSC,Validation,Dimethyl disulfide
111,CCCCCC(=O)OCCC,Test,Propyl Hexanoate
112,CCCCCCCC(C)O,Train,2-Nonanol
113,CCCSSCCC,Test,Dipropyl disulfide
114,CCCCCOC=O,Test,Pentyl formate
115,CC1=CC=C(C=C1)C2=CC=CC=C2,Train,4-Methylbiphenyl
116,CC(C)CCOC(=O)CC(C)C,Train,Isoamyl Isovalerate
117,CC1=CSC=N1,Train,4-Methylthiazole
118,CSSCC1=CC=CC=C1,Train,Benzyl methyl disulfide
119,CCCCCCCC(=O)C,Train,2-Nonanone
120,CC1(SC(SC(S1)(C)C)(C)C)C,Train,Trithioacetone
121,CCC(C)C(=O)OC,Train,Methyl 2-methylbutyrate
122,CCCCCCCC(=O)CC,Train,3-Decanone
123,C1CC=CC(=O)C1,Validation,2-Cyclohexen-1-One
124,CCCCCCCC(=O)OCCCCCC,Train,Hexyl octanoate
125,CC(CO)C1=CC=CC=C1,Train,2-Phenylpropan-1-ol
126,CCCCCC(C)C(=O)O,Validation,2-Methylheptanoic Acid
127,CC1(C2CCC(=C)C1C2)C,Train,Beta-Pinene
128,C1=CN(C=C1)CC2=CC=CO2,Test,1-Furfurylpyrrole
129,CCCCCC1OCC(O1)C,Test,"4-Methyl-2-pentyl-1,3-dioxolane"
130,CSCSC,Train,Bis(methylthio)methane
131,C1CCC(C1)S,Test,Cyclopentanethiol
132,CCCCCCCC(=O)OCCC(C)C,Train,Isopentyl octanoate
133,CCCCCOC(=O)C1=CC=CC=C1,Validation,Pentyl Benzoate
134,CCCCCOC(=O)C1=CC=CC=C1O,Train,Amyl salicylate
135,C=CCSSSCC=C,Train,Diallyl trisulfide
136,CCCC(=O)OCC=C,Train,Allyl butyrate
137,CC(=C)C1CCC(=CC1)C=O,Train,Perillaldehyde
138,CCCSSCC=C,Test,Allyl Propyl Disulfide
139,CCCCCC(=O)OCCC(C)C,Train,Isopentyl hexanoate
140,C1=CC=C(C=C1)CCN=C=S,Train,Phenethyl isothiocyanate
141,CCCCCC1=CC=CC=N1,Validation,2-Pentylpyridine
142,CCCCCCOC(=O)C(C)C,Train,Hexyl isobutyrate
143,CCCCCC(C=C)OC(=O)C,Train,1-Octen-3-yl acetate
