,Smiles,descriptor,Common Name
0,CC(C)S,Train,2-Propanethiol
1,CCC(=O)OCCC(C)C,Validation,Isoamyl propionate
2,CCSSCC,Train,Diethyl Disulfide
3,CCCCCCCOC(=O)C,Train,Heptyl acetate
4,CCC(C)COC(=O)C,Test,2-Methylbutyl Acetate
5,CCCCCOC=O,Train,Pentyl formate
6,CCCOC(=O)C(C)C,Train,Propyl Isobutyrate
7,CC(C)CCOC(=O)CC(C)C,Train,Isoamyl Isovalerate
8,CC(=CCOC(=O)C)C,Train,Prenyl acetate
9,CCCCCCOC(=O)C(C)C,Train,Hexyl isobutyrate
10,CC(=O)CCC1=CC=C(C=C1)O,Train,4-(4-Hydroxyphenyl)-2-butanone
11,CC1(CCCC2(C1=CC(=O)O2)C)C,Validation,"4,4,7a-Trimethyl-5,6,7,7a-tetrahydrobenzofuran-2(4H)-one"
12,CCCCCCOC=O,Test,Hexyl formate
13,CCCC(=O)OC(C)C,Test,Isopropyl butyrate
14,CCC(=O)OCC=C,Train,Allyl Propionate
15,CCCCCCC(=O)OCCCCC,Validation,Pentyl heptanoate
16,CCCCCCOC(=O)CC(C)C,Train,Hexyl isovalerate
17,CCOC(=O)CCSC,Train,Ethyl 3-(methylthio)propionate
18,CC(C)CC(=O)OCC1=CC=CO1,Validation,Furfuryl isovalerate
19,CCCCCOC(=O)CCCC,Train,Pentyl valerate
20,CCCCC(=O)OCCC(C)C,Train,Isopentyl valerate
21,CC1COC(O1)CC(C)C,Train,"2-Isobutyl-4-methyl-1,3-dioxolane"
22,CC(C)CC(=O)SC,Test,S-Methyl 3-methylbutanethioate
23,CCCCCCC(=O)OCCC,Train,Propyl heptanoate
24,CCCC(CC(=O)OC)O,Train,Methyl 3-hydroxyhexanoate
25,CCCC(CCOC(=O)CCC)S,Train,3-Mercaptohexyl butyrate
26,CCC/C=C/CO,Validation,trans-2-Hexen-1-Ol
27,CCCCC(=O)OCC/C=C\CC,Train,cis-3-Hexenyl pentanoate
28,C/C=C\C(=O)OCC(C)C,Train,Isobutyl 2-butenoate
29,C=CCOC(=O)CC1CCCCC1,Train,Allyl cyclohexylacetate
