,Smiles,descriptor,Common Name
0,CCCC=O,Train,butyraldehyde
1,CC(C)C1=CC=C(C=C1)CO,Train,4-isopropylbenzyl alcohol
2,CC(C)C1=CC=C(C=C1)C=O,Train,4-isopropylbenzaldehyde
3,COC1=C(C=CC(=C1)C=C)O,Train,2-Methoxy-4-vinylphenol
4,CCCC=O,Validation,butyraldehyde
5,CC(C)C1=CC=C(C=C1)CO,Train,4-isopropylbenzyl alcohol
6,CC(C)C1=CC=C(C=C1)C=O,Train,4-isopropylbenzaldehyde
7,COC1=C(C=CC(=C1)C=C)O,Train,2-Methoxy-4-vinylphenol
8,COC1=C(C=CC(=C1)CC=C)O,Train,eugenol
9,C=CCC1=CC2=C(C=C1)OCO2,Validation,safrole
10,CC1CCC(=C(C)C)CC2=C1CCC2C,Train,Guaiene
11,C1=CC=C(C(=C1)C=O)O,Test,Salicylaldehyde
12,COC1=C(C=C(C=C1)CC=C)OC,Test,Methyleugenol
13,CC(C)C1=CC=C(C=C1)O,Train,4-Isopropylphenol
14,CSC1=CC=CC=C1,Train,Thioanisole
15,C1=CC=C(C=C1)COC=O,Train,Benzyl formate
16,C1CCC(=O)NCC1,Train,azepan-2-one
17,CCCCCC(=O)C,Train,2-Heptanone
18,CC1CC(CC(C1)(C)C)O,Train,"3,3,5-Trimethylcyclohexanol"
19,CCOC(=O)C1=CC=CC=C1O,Train,Ethyl salicylate
20,CC(CCCC(=C)C)CCOC(=O)C,Train,Rhodinyl acetate
21,CCC1=CN=CC=C1,Train,3-Ethylpyridine
22,CCCCCC(CC)O,Train,3-Octanol
23,CCCCN=C=S,Train,Butyl isothiocyanate
24,CCSC,Train,Ethyl methyl sulfide
25,CSSC,Train,Dimethyl disulfide
26,CC1=CC=C(C=C1)C2=CC=CC=C2,Train,4-Methylbiphenyl
27,CC(C)C1=CC=C(C=C1)C(=O)C,Test,4'-Isopropylacetophenone
28,CC(=O)CCC1=CC=CO1,Test,4-(2-Furyl)butan-2-one
29,CC(CO)C1=CC=CC=C1,Validation,2-Phenylpropan-1-ol
