,Smiles,descriptor,Common Name
0,C1C(C(C(OC1O)CO)O)O,Train,2-Deoxyhexopyranose
1,CCC(=O)C(=O)O,Train,2-oxobutanoic acid
2,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,Train,AC1L18F4
3,C1=CC=C(C=C1)CCC(=O)O,Train,3-Phenylpropanoic acid
4,C1=CC(=CC=C1CO)O,Train,4-hydroxybenzyl alcohol
5,C1=CC(=CC=C1C=O)O,Train,4-hydroxybenzaldehyde
6,CC(C(=O)C)O,Train,acetoin
7,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,Train,AC1L18OC
8,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Test,3228-71-5
9,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,Test,"Adenosine-5'-Diphosphate, free acid"
10,C(C1C(C(C(C(O1)O)O)O)O)O,Validation,Hexopyranose
11,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,Train,NSC20264
12,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,Validation,AC1L18RM
13,C1C(C(C(C(O1)O)O)O)O,Test,Pentopyranose
14,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,Test,Adenosine 5'-triphosphate disodium salt
15,C(CN)C(=O)O,Train,beta-alanine
16,C1=CC=C(C=C1)C=O,Train,benzaldehyde
17,C1=CC=C(C=C1)CO,Train,benzyl alcohol
18,CCCCO,Validation,1-butanol
19,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,Train,NSC94017
20,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,Train,cellobiose
21,C1=CC=C2C(=C1)C=CC(=O)O2,Train,coumarin
22,C1C(C(C(OC1O)CO)O)O,Train,2-Deoxyhexopyranose
23,CCC(=O)C(=O)O,Train,2-oxobutanoic acid
24,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,Test,AC1L18F4
25,C1=CC=C(C=C1)CCC(=O)O,Train,3-Phenylpropanoic acid
26,C1=CC(=CC=C1CO)O,Train,4-hydroxybenzyl alcohol
27,C1=CC(=CC=C1C=O)O,Test,4-hydroxybenzaldehyde
28,CC(C(=O)C)O,Train,acetoin
29,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,Train,AC1L18OC
30,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Test,3228-71-5
31,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,Train,"Adenosine-5'-Diphosphate, free acid"
32,C(C1C(C(C(C(O1)O)O)O)O)O,Train,Hexopyranose
33,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,Test,NSC20264
34,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,Validation,AC1L18RM
35,C1C(C(C(C(O1)O)O)O)O,Validation,Pentopyranose
36,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,Test,Adenosine 5'-triphosphate disodium salt
37,C(CN)C(=O)O,Train,beta-alanine
38,C1=CC=C(C=C1)C=O,Train,benzaldehyde
39,C1=CC=C(C=C1)CO,Train,benzyl alcohol
40,CCCCO,Validation,1-butanol
41,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,Validation,NSC94017
42,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,Test,cellobiose
43,C1=CC=C2C(=C1)C=CC(=O)O2,Train,coumarin
44,C(C(C(C(C(CO)O)O)O)O)O,Train,Hexitol
45,COC1=CC=CC=C1O,Test,guaiacol
46,CN(C)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Train,AC1L19BG
47,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,Train,58337-43-2
48,C(C(C(C(C(C(=O)O)O)O)O)O)O,Train,Hexonic acid
49,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,Train,AC1Q6S1V
50,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O,Test,"Adenosine, 5'-phosphoric acid"
51,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,Test,2'-Deoxyadenosine 5'-triphosphate disodium salt(dATP)
52,CC(=O)C(=O)C,Train,"2,3-butanedione"
53,C1CC(=O)OC2=CC=CC=C21,Train,dihydrocoumarin
54,CCO,Train,ethanol
55,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC(C(C(CN)O)O)O)O)O)N,Train,AC1L19U2
56,C(C(=O)O)N,Train,glycine
57,C(C(CO)O)O,Train,glycerol
58,CCC(C)C(C(=O)O)N,Test,Dl-Isoleucine
59,C(C(C(C(CO)O)O)O)O,Train,"pentane-1,2,3,4,5-pentol"
60,CC1C(C(C(C(O1)O)O)O)O,Validation,6-Deoxyhexopyranose
61,CC(C(C(C(=O)CO)O)O)O,Validation,fuculose
62,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,Test,maltotriose
63,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,Train,melibiose
64,CC(=O)C=O,Train,methylglyoxal
65,C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O)O)O,Train,AC1L1AC8
