  
CCCCCCCCC#CC(=O)OC 0
CC(C)=CCCC(C)C=O 1
CCCCCCC1CCCCC(=O)O1 2
C=CCOC(=O)CCCCCCCC 3
CCCCCCC1CCCCC(=O)O1 4
CC(C)CC(=O)OC(C)C 5
CC1SCCC1=O 6
C=C(C)CCO 7
COc1ccc(CC(C)=O)cc1 8
CC=O 9
  
CCC(C)COC(=O)C(C)CC 0
CCCCCCC(=O)CC 1
CCCCCCCCOC=O 2
CCC(C)COC(=O)C(C)CC 3
CCCCCCCCOC(=O)CC 4
CC1CCC(C(C)(C)S)C(=O)C1 5
CCCCCCCCC1CCC(=O)O1 6
CCCCCCCCOC(=O)CC 7
CCCCC(=O)OC 8
CCOC(=O)CCC1CCCCC1 9
  
COc1ccc(CC(C)=O)cc1 0
CCCC(C)=O 1
CCCCCCCCCC(C)=O 2
CCOC(C)=O 3
CCCCCCCC(=O)OCCCCCC 4
CCCCCOC(=O)CCCC 5
CCCCCCCCOC(=O)c1ccccc1 6
CCCCCCCCOC(=O)CC 7
CCCCCC(=O)OCCC(C)C 8
CCCCC(=O)OCC 9
  
CCCCCOC(=O)CCCC 0
CCCCCCCCOC(=O)C(C)C 1
COC1=C(C)OC(C)C1=O 2
CCCCCCCC1CCC(=O)O1 3
CCCCCCCCOC(=O)CC 4
CCCCCCCOC(=O)CCC 5
CCCCCCCCOC(=O)CC 6
Cc1ccc(C(C)(C)O)cc1 7
CCCCCCCCOC(=O)CC 8
CSSC 9
  
CCCC=O 0
CC(=O)C(=O)C(C)C 1
CCC(=O)OCC(C)C 2
CC(=O)OCC1CCCO1 3
CC=O 4
CCCCCCCCCC(C)=O 5
CCCCCCCCOC(=O)CC 6
CCCCCCCCOC(=O)CC 7
CCCCCCCCOC(=O)CC 8
CC1CCC(C(C)(C)S)C(=O)C1 9
  
CC1CCC(C(C)(C)S)C(=O)C1 0
CCCCCCCCOC(=O)CC 1
CCCCCC(=O)OCCC(C)C 2
CCCCCCCCOC(=O)CC 3
CCCCCCCCOC(=O)CCC 4
CCC(C)COC(=O)CC(C)C 5
CC(C)CCO 6
CCC(=O)OC(C)C 7
CCCCCCCCOC(=O)CC 8
CCCCCC(=O)OC(C)C 9
  
CCCCC(C)C(=O)O 0
CCCCCCCCC1CCC(=O)O1 1
CCCCCCCC(C)O 2
CCCC(=O)CCC 3
CCCCCCCCOC(=O)CC 4
CCOC(=O)CC(=O)OCC 5
CC(C)CCCC(=O)O 6
CCCCCCCCOC(=O)CC 7
CCCCCCOC(=O)C(C)CC 8
CCC(C)CCO 9
  
CCCC=O 0
CCSC(C)=O 1
CC(C)CC(=O)OC(C)C 2
CCSC(C)=O 3
CCOC(=O)C(C)CC 4
CCCCCCCCC(=O)OC 5
CCOC(=O)C(C)C 6
CCCCCc1ccco1 7
CC(=O)C(=O)C(C)C 8
CCCCCCCCOC(=O)CC 9
  
CCCCCCOC(=O)C(C)CC 0
CCCCCCO 1
CC(=O)OCC=C(C)C 2
CCCCC(=O)OCC 3
CCCCCCCOC(=O)CCC 4
Cc1cccc(C=O)c1 5
Cc1ccc(C(C)(C)O)cc1 6
CCCCCCCCOC(=O)CC 7
CCCCCCCC(=O)OCCCCCC 8
CCCCC(=O)OCC 9
  
CCCC(=O)C(C)=O 0
CC1=C(C=O)C(C)(C)CCC1 1
CCC(C)COC(=O)C(C)CC 2
CCCCCCCCCCCCCCC(C)=O 3
CCC(=O)OCc1ccc(OC)cc1 4
CC=O 5
CCCCCCCCC1CCC(=O)O1 6
CCCCC(C)C(=O)O 7
CCCCCCCCOC(=O)CC 8
CCCCC(=O)C(C)C 9
